,nums,names
1,1,Aegialomys xanthaeolus
2,2,Allochrocebus lhoesti
3,3,Aonyx cinereus
4,4,Aotus brumbacki
5,5,Aotus griseimembra
6,6,Apomys sierrae
7,7,Artibeus planirostris
8,8,Bos gaurus
9,9,Bos mutus
10,10,Bubalus arnee
11,11,Callospermophilus lateralis
12,12,Callospermophilus madrensis
13,13,Callospermophilus saturatus
14,14,Canis rufus
15,15,Capra aegagrus
16,16,Cebuella pygmaea
17,17,Cephalophus harveyi
18,18,Cerradomys subflavus
19,19,Cervus canadensis
20,20,Cratogeomys perotensis
21,21,Dendrohyrax validus
22,22,Dermanura anderseni
23,23,Dermanura azteca
24,24,Dermanura bogotensis
25,25,Dermanura cinerea
26,26,Dermanura glauca
27,27,Dermanura gnoma
28,28,Dermanura phaeotis
29,29,Dermanura tolteca
30,30,Dermanura watsoni
31,31,Equus ferus
32,32,Eulemur rufifrons
33,33,Eumops nanus
34,34,Euryoryzomys legatus
35,35,Euryoryzomys macconnelli
36,36,Euryoryzomys nitidus
37,37,Euryoryzomys russatus
38,38,Galagoides demidoff
39,39,Galagoides zanzibaricus
40,40,Galeopterus variegatus
41,41,Gerbillus campestris
42,42,Gerbillus dasyurus
43,43,Herpailurus yagouaroundi
44,44,Herpestes auropunctatus
45,45,Herpestes pulverulentus
46,46,Herpestes sanguineus
47,47,Hoolock hoolock
48,48,Hylaeamys megacephalus
49,49,Hylaeamys perenensis
50,50,Hylaeamys yunganus
51,51,Ictidomys mexicanus
52,52,Ictidomys tridecemlineatus
53,53,Ictonyx libycus
54,54,Kerivoula kachinensis
55,55,Kerivoula titania
56,56,Lama guanicoe
57,57,Lepus victoriae
58,58,Lonchophylla concava
59,59,Marmosa demerarae
60,60,Marmosa regina
61,61,Mazama nemorivaga
62,62,Mico argentatus
63,63,Mico melanurus
64,64,Mogera robusta
65,65,Molossus bondae
66,66,Mormopterus eleryi
67,67,Mormopterus lumsdenae
68,68,Mormopterus petersi
69,69,Mormopterus ridei
70,70,Myotis aurascens
71,71,Myotis dinellii
72,72,Myotis escalerai
73,73,Nannospalax leucodon
74,74,Natalus mexicanus
75,75,Neomonachus schauinslandi
76,76,Neoromicia brunnea
77,77,Neoromicia nana
78,78,Neoromicia somalica
79,79,Neotamias amoenus
80,80,Neotamias dorsalis
81,81,Neotamias merriami
82,82,Neotamias minimus
83,83,Neotamias obscurus
84,84,Neotamias ochrogenys
85,85,Neotamias quadrimaculatus
86,86,Neotamias quadrivittatus
87,87,Neotamias ruficaudus
88,88,Neotamias rufus
89,89,Neotamias senex
90,90,Neotamias siskiyou
91,91,Neotamias sonomae
92,92,Neotamias speciosus
93,93,Neotamias townsendii
94,94,Neotamias umbrinus
95,95,Nephelomys albigularis
96,96,Nephelomys devius
97,97,Nephelomys keaysi
98,98,Nephelomys levipes
99,99,Notocitellus adocetus
100,100,Notocitellus annulatus
101,101,Orcaella heinsohni
102,102,Otaria byronia
103,103,Otomys unisulcatus
104,104,Otospermophilus beecheyi
105,105,Otospermophilus variegatus
106,106,Ovis orientalis
107,107,Panthera uncia
108,108,Papio kindae
109,109,Parahyaena brunnea
110,110,Paremballonura atrata
111,111,Perodicticus edwardsi
112,112,Perodicticus ibeanus
113,113,Phascogale pirata
114,114,Physeter macrocephalus
115,115,Piliocolobus temminckii
116,116,Platyrrhinus albericoi
117,117,Platyrrhinus angustirostris
118,118,Platyrrhinus fusciventris
119,119,Platyrrhinus incarum
120,120,Platyrrhinus ismaeli
121,121,Platyrrhinus masu
122,122,Platyrrhinus matapalensis
123,123,Plecotus macrobullaris
124,124,Plecotus ognevi
125,125,Poliocitellus franklinii
126,126,Proechimys trinitatis
127,127,Pteronotus mesoamericanus
128,128,Pteronotus rubiginosus
129,129,Rhinopoma cystops
130,130,Sapajus apella
131,131,Sapajus cay
132,132,Sapajus libidinosus
133,133,Sapajus macrocephalus
134,134,Sapajus nigritus
135,135,Sciurocheirus alleni
136,136,Sooretamys angouya
137,137,Sorex rohweri
138,138,Sotalia guianensis
139,139,Sturnira hondurensis
140,140,Tragelaphus oryx
141,141,Transandinomys bolivaris
142,142,Transandinomys talamancae
143,143,Triaenops afer
144,144,Urocitellus armatus
145,145,Urocitellus beldingi
146,146,Urocitellus canus
147,147,Urocitellus columbianus
148,148,Urocitellus elegans
149,149,Urocitellus mollis
150,150,Urocitellus parryii
151,151,Urocitellus richardsonii
152,152,Urocitellus townsendii
153,153,Urocitellus undulatus
154,154,Urocitellus washingtoni
155,155,Vampyriscus bidens
156,156,Vampyriscus brocki
157,157,Vampyriscus nymphaea
158,158,Vampyrodes major
159,159,Xerospermophilus mohavensis
160,160,Xerospermophilus spilosoma
161,161,Xerospermophilus tereticaudus
